,program_name,program_type_description,address,georeference,lat,lon
891,New Horizon Counseling Center ACT Team,Assertive Community Treatment (ACT),"88-02 Rockaway Beach Boulevard, Rockaway Beach, NY, 11693-1609",POINT (-73.813141 40.587318),40.587318,-73.813141
892,Joan Fenichel Therapeutic Nursery,Day Treatment,"470 Vanderbilt Avenue, Brooklyn, NY, 11238-2212",POINT (-73.967818 40.682981),40.682981,-73.967818
893,Health Home Non Medicaid Care Management C&Y,Health Home Non-Medicaid Care Management,"45 North Broad Street, Wellsville, NY, 14895",POINT (-77.943182 42.12048),42.12048,-77.943182
895,Empowerment Center,Advocacy/Support Services,"90-27 Sutphin Boulevard, Jamaica, NY, 11435",POINT (-73.80825 40.702607),40.702607,-73.80825
896,Community Psychiatric Support and Treatment,CFTSS: Community Psychiatric Support and Treatment (CPST),"1444 5th Avenue, Bay Shore, NY, 11706-4147",POINT (-73.263906 40.745565),40.745565,-73.263906
898,Adult Home Initiative,Outreach,"17 Battery Place, New York, NY, 10004",POINT (-74.015802 40.704944),40.704944,-74.015802
901,BronxCare Psychiatric Adult Outpatient Practice 1,Clinic Treatment,"1276 Fulton Avenue, Bronx, NY, 10456-3402",POINT (-73.903756 40.83175),40.83175,-73.903756
903,Strong Ties ACT Program,Assertive Community Treatment (ACT),"2613 W. Henrietta Road, Rochester, NY, 14623-2327",POINT (-77.630422 43.099104),43.099104,-77.630422
904,RGHS BHN - HH NonMed CM Rochester MHC,Health Home Non-Medicaid Care Management,"490 East Ridge Road, Rochester, NY, 14621-3086",POINT (-77.605123 43.195443),43.195443,-77.605123
906,Children and Family Treatment and Support Services,CFTSS: Other Licensed Practitioner (OLP),"315 Wyckoff Avenue, Brooklyn, NY, 11237",POINT (-73.912085 40.700088),40.700088,-73.912085
912,Mental Health School Based Satellite-Huntington High School,School Mental Health Program,"188 Oakwood Road, Huntington, NY, 11743-4295",POINT (-73.427133 40.858011),40.858011,-73.427133
914,Family Peer Support Services,CFTSS: Family Peer Support Services (FPSS),"344 Fulton Avenue, Hempstead, NY, 11550",POINT (-73.621956 40.708934),40.708934,-73.621956
915,Brooklyn Children's Behavioral Health Clinic,Clinic Treatment,"1819 Bergen Street, Brooklyn, NY, 11233-4513",POINT (-73.921862 40.674569),40.674569,-73.921862
919,LaSalle School CFTSS,CFTSS: Community Psychiatric Support and Treatment (CPST),"391 Western Avenue, Albany, NY, 12203",POINT (-73.783614 42.663888),42.663888,-73.783614
922,WMC - Behavioral Health Inpatient Unit,Inpatient Psychiatric Unit of a General Hospital,"100 Woods Road, Valhalla, NY, 10595",POINT (-73.803897 41.08768),41.08768,-73.803897
923,Family Support Program,Family Peer Support Services - Children & Family,"7 Pearl Street, Malone, NY, 12953",POINT (-74.290416 44.848664),44.848664,-74.290416
926,South Shore Family Center Clinic,Clinic Treatment,"1448 Fifth Avenue, Bay Shore, NY, 11706-4147",POINT (-73.263945 40.745186),40.745186,-73.263945
929,Work Program,Work Program,"230 Maple Street, Glens Falls, NY, 12801",POINT (-73.63216 43.312022),43.312022,-73.63216
930,Triage Team,Outreach,"998 Crooked Hill Road, West Brentwood, NY, 11717",POINT (-73.286926 40.80409),40.80409,-73.286926
931,Outreach - Reinvestment,Outreach,"317 South Broadway, Yonkers, NY, 10701",POINT (-73.895774 40.922668),40.922668,-73.895774
933,Skilled Nursing Facility Enhanced Support Program),Nursing Home Support,"79-25 Winchester Blvd., Queens Village, NY, 11427",POINT (-73.73324 40.741147),40.741147,-73.73324
934,CAMT Respite Bed,Respite Services,"60 Academy Road, Albany, NY, 12208",POINT (-73.78536 42.649281),42.649281,-73.78536
938,Columbia Presbyterian Center CPEP,CPEP Crisis Intervention,"622 W 168th Street, New York, NY, 10032-3720",POINT (-73.940785 40.841514),40.841514,-73.940785
939,Glens Falls Hospital - HH Non - Medicaid CM,Health Home Non-Medicaid Care Management,"100 Park Street, Glens Falls, NY, 12801",POINT (-73.644551 43.308335),43.308335,-73.644551
942,DDD1 - Information & Referral,Advocacy/Support Services,"939 Johnson Avenue, Ronkonkoma, NY, 11779",POINT (-73.12145 40.807643),40.807643,-73.12145
943,Family Court Screening,Outreach,"400 Carleton Avenue, Central Islip, NY, 11722",POINT (-73.196309 40.761726),40.761726,-73.196309
946,East Village Access,Comprehensive PROS with Clinical Treatment,"242 East 2nd Street, New York, NY, 10009-8127",POINT (-73.981882 40.721361),40.721361,-73.981882
947,BFNC - HH NonMed CM - New Options,Health Home Non-Medicaid Care Management,"45 Jewett Avenue, Buffalo, NY, 14214",POINT (-78.842207 42.934016),42.934016,-78.842207
949,Healthy Outcomes Partnership & Education,Non-Medicaid Care Coordination,"77 Goodell Street, Buffalo, NY, 14203",POINT (-78.868249 42.894753),42.894753,-78.868249
950,Transitional Employment,Transitional Employment Placement (TEP),"1 Arc Way, Bath, NY, 14810",POINT (-77.297469 42.358767),42.358767,-77.297469
951,Westchester CJ Recovery Coach,Outreach,"6 Gramatan Avenue, Mount Vernon, NY, 10550",POINT (-73.837251 40.91248),40.91248,-73.837251
956,Advocacy/Support Services,Advocacy/Support Services,"171 East State Street, Ithaca, NY, 14850-3305",POINT (-76.49687 42.439439),42.439439,-76.49687
957,Psychosocial Rehabilitation,CFTSS: Psychosocial Rehabilitation (PSR),"365 Willoughby Avenue, Brooklyn, NY, 11205",POINT (-73.955972 40.692976),40.692976,-73.955972
958,Pine Grove Clinic,Clinic Treatment,"350 Washington Avenue, Kingston, NY, 12401-3702",POINT (-74.02461 41.933939),41.933939,-74.02461
959,OMH Crisis Respite,Respite Services,"27 N. Main Avenue, Albany, NY, 12203",POINT (-73.78725 42.666158),42.666158,-73.78725
962,Non-Medicaid CC - Sullivan Vocational,Non-Medicaid Care Coordination,"22 Crystal Street, Monticello, NY, 12701",POINT (-74.688934 41.663079),41.663079,-74.688934
963,Suffolk County Transportation,Transportation,"998 Crooked Hill Road, West Brentwood, NY, 11717",POINT (-73.286926 40.80409),40.80409,-73.286926
964,Children's Mobile Crisis Team,Crisis  Intervention,"1841 Park Avenue, New York, NY, 10035",POINT (-73.938281 40.805822),40.805822,-73.938281
966,Compeer For Youth,Advocacy/Support Services,"307-309 Meadow Street, Johnstown, NY, 12095",POINT (-74.377811 43.00205),43.00205,-74.377811
968,Bronx PC - HHCM,Health Home Care Management,"3050 White Plains Road, Bronx, NY, 10467",POINT (-73.867234 40.8705),40.8705,-73.867234
969,Fed of Org - HH CM - Suffolk,Health Home Care Management,"3390 Route 112, Medford, NY, 11763",POINT (-72.997038 40.845377),40.845377,-72.997038
970,UCP - HH Non- Med CM - Utica Area,Health Home Non-Medicaid Care Management,"235 North Prospect Street, Herkimer, NY, 13350",POINT (-74.989564 43.026963),43.026963,-74.989564
972,CFTSS: Youth Peer Support and Training,CFTSS: Youth Peer Support (YPS),"166 Albany Ave, Kingston, NY, 12402-3516",POINT (-74.008506 41.933327),41.933327,-74.008506
973,Seaway House Psychosocial Club,Psychosocial Club,"212 Caroline Street, Ogdensburg, NY, 13669",POINT (-75.492155 44.698878),44.698878,-75.492155
974,Mental Health Court,Non-Medicaid Care Coordination,"55 West Ames Court Suite 100, Plainview, NY, 11803",POINT (-73.468269 40.79008),40.79008,-73.468269
976,Social Club,Psychosocial Club,"25 Liberty Street, Batavia, NY, 14020",POINT (-78.179806 42.995245),42.995245,-78.179806
977,Institute Center for Counseling at Westchester Square,Clinic Treatment,"1420 Ferris Place, Bronx, NY, 10461-3611",POINT (-73.841546 40.839364),40.839364,-73.841546
978,Work Program,Work Program,"33-35 Central Avenue, Cortland, NY, 13045",POINT (-76.178771 42.600136),42.600136,-76.178771
979,Expanded Community Support Adult,Outreach,"126 Innis Avenue, Poughkeepsie, NY, 12601",POINT (-73.904456 41.705005),41.705005,-73.904456
983,Elmira PC Allegany - HHCM,Health Home Care Management,"45 Broad Street, Wellsville, NY, 14895",POINT (-77.943182 42.12048),42.12048,-77.943182
984,Youth Partner/Peer Mentor LEAD,Advocacy/Support Services,"1444 5th Avenue, Bay Shore, NY, 11706-4147",POINT (-73.263906 40.745565),40.745565,-73.263906
985,Hamilton County Community Services,Advocacy/Support Services,"143 White Birch Lane, Indian Lake, NY, 12842-1409",POINT (-74.260096 43.777635),43.777635,-74.260096
988,Families First in Essex County Inc.,CFTSS: Family Peer Support Services (FPSS),"196 Water Street, Elizabethtown, NY, 12932",POINT (-73.59303 44.217394),44.217394,-73.59303
990,Support/Advocacy Services,Advocacy/Support Services,"25 Flatbush Avenue, Brooklyn, NY, 11217",POINT (-73.980183 40.687916),40.687916,-73.980183
991,Shiloh Consulting,Clinic Treatment,"566 7th Avenue, New York, NY, 10018-1802",POINT (-73.987665 40.755072),40.755072,-73.987665
996,Hospital Transition and Diversion - Sullivan County,Crisis  Intervention,"14 Pelton St., Monticello, NY, 12701",POINT (-74.691174 41.655071),41.655071,-74.691174
998,CFC Mental Health Clinic,Clinic Treatment,"87 North Clinton Avenue, Rochester, NY, 14604-1407",POINT (-77.607154 43.158961),43.158961,-77.607154
999,YWCA Women's Residence Program,Non-Medicaid Care Coordination,"300 Burt Street, Syracuse, NY, 13202",POINT (-76.146596 43.038263),43.038263,-76.146596
